GBIF ID number,Garden/herbarium/catalog number,Consortium Herbarium Websites,Provenance,Brief Explanation of Provenance,"Lenticel shape
0: Most or all lenticels are small, round, white, and abundant, evenly distributed. If elongated, the elongation is perpendicular to the branch.
1: Moderate number of lenticels are small, round, white, and abundant lenticels, with patchy distribution, where moderate is 20-50%. If elongated, the elongation is parallel to the branch.
2: More than 50% of lenticels are large, tan, corky lenticels with a patchy distribution. Many are dash-shaped and elongated parallel to the branch.
Unsure/in between
Trait not present
Trait not measurable/ obscured or image quality issue
Trait to early to measure
","Dormant terminal bud
If the terminal bud is growing DO NOT measure. Choose one of the following
0: Elongated, slender, conical and tan colored
1: Broadest at the base, less elongated, and slightly green colored
2: Stout, pyramid shaped, green or yellow green in color
Unsure/in between
Trait not present
Trait not measurable/ obscured or image quality issue
Trait to early to measure
","Thickness of twig
Stout (thick, hulky)
Slender (thin)
Unsure/in between
Trait not present
Trait not measurable/ obscured or image quality issue","Color of twig
Dark olive green to red brown
Tan to brown
Tan or light green
Unsure/in between
Trait not present
Trait not measurable/ obscured or image quality issue","Hair Texture of twig
Some (or no) hairs
Patchy hairs
Abundant hairs
Unsure/in between
Trait not present
Trait not measurable/ obscured or image quality issue
Trait to early to measure","Leaf scar
0: Top edge of most leaf scars is straight or slightly arched
1: Top edge of some leaf scars has a small descending “V” shaped notched (an arch) and side edges are lobed
2: Top edge of most or all leaf scars has a clear descending “V” shaped notch and side edges are lobed
Unsure/in between
Trait not present
Trait not measurable/ obscured or image quality issue
Trait to early to measure","Nut presence 
(Y/N)","Nut shape/texture if present (without husk): 
0: Cylindrical nut, round in cross section, with thin, sharp corrugations. The suture/seam is not easily distinguished from the longitudinal ridges
1: Slightly asymmetrical nut, with noticeable valleys between longitudinal ridges
2: Asymmetric, diamond-shaped or flattened nut, with dull or sparse corrugations. The suture/seam is easily identified and forms the widest part of the nut’s body
Unsure/in between
Trait not present
Trait not measurable/ obscured or image quality issue
Trait to early to measure
","Catkin presence 
(Y/N)","Pith color
0: Dark chocolate brown
1: Light brown
2: tan/honey brown
Unsure/in between
Trait not present
Trait not measurable/ obscured or image quality issue
Trait to early to measure",Leaf #1 length (cm),Leaf #2 length (cm),Leaf #3 length (cm),Leaf #4 length (cm),Leaf #5 length (cm),"Leaves
0: Most leaves less than 45.72 cm long
1: Many leaves 45.72 cm or longer
Evenly split
Trait not present
Trait not measurable/ obscured or image quality issue
Trait to early to measure", Length of nut #1 (cm), Length of nut #2 (cm), Length of nut #3 (cm), Length of nut #4 (cm), Length of nut #5 (cm), Width of nut #1 (cm), Width of nut #2 (cm), Width of nut #3 (cm), Width of nut #4 (cm), Width of nut #5 (cm),Catkin length #1 (cm),Catkin length #2 (cm),Catkin length #3 (cm),Catkin length #4 (cm),Catkin length #5 (cm),"Catkin length score
0 : Shorter than 11.43 cm
1: Betweeen 11.43 - 13.97 cm 
2: Longer than 13.97 cm
Evenly split
Trait not present
Trait not measurable/ obscured or image quality issue",Leaflet amount #1,Leaflet amount #2,Leaflet amount #3,Leaflet amount #4,Leaflet amount #5,Leaf Scar Angle (°) 1,Leaf Scar Angle (°) 2,Leaf Scar Angle (°) 3,Leaf Scar Angle (°) 4,Leaf Scar Angle (°) 5,"Score
<3 = Butternut
>3 = hybrid or heartnut",Habitat,Latitude,Longitude,Year,Month,Day,Notes
4134374341,CM549062,Carnegie Museum of Natural History Herbarium (CM-Botany) https://midatlanticherbaria.org/portal/collections/misc/collprofiles.php?collid=328,W,"United States, Pennsylvania, Lawrence, Plain Grove Fens Natural Area, NW of Plain Grove 41.05629722, -80.16023889 +-4m.  WGS84
",1,0,Stout,Dark olive gree to red brown,Patchy hairs,Trait not present,Y,Trait not measurable/obscured or image quality issue,N,Trait not present,28.964,34.542,38.066,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,0,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present ,11,11,11,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,1,edge of woods,41.05629722,-80.16023889,2022,9,9,
4132083353,GA277220,University of Georgia https://sernecportal.org/portal/collections/misc/collprofiles.php?collid=258,W,"United States, Georgia, Towns, Tate City, Charles H. Wharton Conservation Center: on E side of Tallulah River, ca. 150 ft S of North Carolina border. 34.991944 , -83.557222",0,0,Stout,Dark olive gree to red brown,Patchy hairs,Trait not present,N,Trait not present,N,0,30.377,38.83,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,0,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present ,9,13,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,0,"Wooded ""island"" in frequently mown meadow in floodplain.",,,2021,9,25,
2859221803,CM537702,Carnegie Museum of Natural History Herbarium (CM-Botany) https://midatlanticherbaria.org/portal/collections/misc/collprofiles.php?collid=328,W,"United States, Pennsylvania, Bedford, Southampton Twp, ""Polish Mountain North"", ~1.2 mi SW of Elbinsville 39.745123, -78.496042",0,Trait not present,Slender,Tan to brown,Some (or no) hairs,1,N,Trait not present,Y,Trait not present,Trait too early to measure,Trait too early to measure,Trait too early to measure,Trait too early to measure,Trait too early to measure,Trait to early to measure,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,8.289,6.258,3.42,3.244,8.117,0,11,13,11,11,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,1,"Dry open shaly/siltstone roadbank strip with western exposure, mostly with sparse vegetation.",39.745123,-78.496042,2018,5,9,
3949990351,RSA0446668,California Botanic Garden Herbarium (RSA-VascularPlants) https://cch2.org/portal/collections/misc/collprofiles.php?collid=17,W,"United States, Wisconsin, Richland, 3.8 km E of Gotham along Hwy. J, Button Bluff, NE of Button Cemetery. 43.218889, -90.243889",0,0,Slender,Tan to brown,Some (or no) hairs,0,N,Trait not present,Y,Trait not present,Trait too early to measure,Trait too early to measure,Trait too early to measure,Trait too early to measure,Trait too early to measure,Trait to early to measure,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,5.979,6.346,7.405,7.233,7.257,0,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,132.225,123.814,171.843,120.694,Trait not measurable/ obscured or image quality issue,0,"Base of S-facing Wisconsin River valley bluff, woods which has invaded former pasture with Prunus serotina, Juniperus virginiana, Ulmus pumila, Morus alba, Juglans cinerea.",43.218889,-90.243889,2016,5,11,
4953997073,K004053502,Royal Botanic Garden https://data.kew.org/?_gl=1*jzbst5*_ga*MTkzMjM5MTY1NC4xNzI5ODAyMzM1*_ga_ZVV2HHW7P6*MTczMzcyOTQxOC4yLjEuMTczMzczMDM4NC4wLjAuMA..&lang=en-US,W,"United States, Wisconsin, Richland, 3.8 km E of Gotham along Hwy. J, Button Bluff, NE of Button Cemetery. 43.218889,  -90.2438",Trait not measurable/obscured or image quality issue,Trait not present,Slender,Dark olive gree to red brown,Trait not measurable/ obscured or image quality issue,Trait not measurable/obscured or image quality issue,N,Trait not present,Y,Trait not present,Trait too early to measure,Trait too early to measure,Trait too early to measure,Trait too early to measure,Trait too early to measure,Trait to early to measure,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,6.088,9.193,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,0,Trait too early to measure,Trait too early to measure,Trait too early to measure,Trait too early to measure,Trait too early to measure,Trait too early to measure,Trait too early to measure,Trait too early to measure,Trait too early to measure,Trait too early to measure,0,"Base of S-facing Wisconsin River valley bluff, woods which has invaded former pasture with Prunus serotina, Juniperus virginiana, Ulmus pumila, Morus alba, Juglans cinerea.",43.218889,-90.243889,2016,5,11,
1989114475,1552122,Univeristy of Michigan https://scientific-collections.gbif.org/institution/6f734148-063f-462e-a332-4c4a7bf2b409,W,"Custer Township, Section 24, Pere Marquette River",0,0,Stout,Tan to brown,Some (or no) hairs,Trait not measurable/obscured or image quality issue,N,Trait not present,N,Trait not present,33.923,38.317,Trait not present,Trait not present,Trait not present,0,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present ,11,13,Trait not present,Trait not present,Trait not present,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,0,at edge of backwater channel of the river.,43.93455,-86.1649667,2016,9,25,
1930311779,1132393,New York Botanic Garden https://sweetgum.nybg.org/science/vh/,U,"United States, Wisconsin: Richland Co. ca 1km SW of Rockbridge",1,2,Stout,Dark olive gree to red brown,Some (or no) hairs,Trait not present,N,Trait not present,N,Trait not present,22.805,19.048,40.622,Trait not present,Trait not present,0,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present ,7,13,15,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,3,Sandstone ridge,43.445178,-90.363534,2009,9,11,
4064846686,MOAR0012720,Morris Arboretum https://midatlanticherbaria.org/portal/collections/misc/collprofiles.php?collid=320,W,"United States, Pennsylvania, Montgomery, 1.89 km SW of Fort Washington, W.V.W.A., W side of Wissahickon Creek, at mouth of Sandy Run",2,2,Slender,Tan to brown,Abundant hairs,Trait not measurable/obscured or image quality issue,N,Trait not present,N,2,69.05,Trait not present,Trait not present,Trait not present,Trait not present,1,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present ,15,Trait not present,Trait not present,Trait not present,Trait not present,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,7,riparian forest,40.130005,-75.221207,2013,7,25,
3091271115,ASC00070592,Deaver Herbarium (Northern Arizona University) (ASC) https://swbiodiversity.org/seinet/collections/misc/collprofiles.php?collid=3,U,"United States, Arizona, Apache, Hubbell Trading Post National Historic Site, Along the entrance road, south side",Unsure/in between,Trait not present,Stout,Unsure/in between,Some (or no) hairs,Unsure/in between,Y,Unsure/in between,Y,Trait not present,Trait too early to measure,Trait too early to measure,Trait too early to measure,Trait too early to measure,Trait too early to measure,Trait to early to measure,2.696,2.635,2.274,Trait not present,Trait not present,2.356,2.894,2.545,Trait not present,Trait not present,3.475,5.235,4.544,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,0,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,109.726,112.455,106.423,88.377,Trait not measurable/ obscured or image quality issue,0,Inside of pasture/old agricultural field,35.70757,-109.55523,2001,5,22,
3470664446,CAU00001910,Campbell University Herbarium https://sernecportal.org/portal/collections/misc/collprofiles.php?collid=360,G,"United States, Missouri, Boone, 615 North 8th Street. ca 2 blocks north of intersection of 8th and Rogers streets.",1,1,Slender,Dark olive gree to red brown,Patchy hairs,Trait not present,Y,Trait not measurable/obscured or image quality issue,N,Trait not present,46.684,28.874,Trait not present,Trait not present,Trait not present,Evenly split,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present,Trait not present ,13,7,Trait not present,Trait not present,Trait not present,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not measurable/ obscured or image quality issue,Trait not present,Trait not present,2,,,,1997,7,15,
